Movie Name
The Shawshank Redemption
The Godfather
The Dark Knight
The Godfather Part II
12 Angry Men
Schindler's List
The Lord of the Rings: The Return of the King
Pulp Fiction
The Lord of the Rings: The Fellowship of the Ring
"The Good, the Bad and the Ugly"
Forrest Gump
The Lord of the Rings: The Two Towers
Fight Club
Inception
Star Wars: Episode V - The Empire Strikes Back
Dune: Part Two
The Matrix
Goodfellas
One Flew Over the Cuckoo's Nest
Se7en
Interstellar
It's a Wonderful Life
Seven Samurai
The Silence of the Lambs
Saving Private Ryan
City of God
Life Is Beautiful
The Green Mile
Terminator 2: Judgment Day
Star Wars: Episode IV - A New Hope
Back to the Future
Spirited Away
The Pianist
Parasite
Psycho
Spider-Man: Across the Spider-Verse
Gladiator
The Lion King
Léon: The Professional
The Departed
American History X
Whiplash
The Prestige
Grave of the Fireflies
Harakiri
The Usual Suspects
Casablanca
The Intouchables
Cinema Paradiso
Modern Times
Rear Window
Once Upon a Time in the West
Alien
City Lights
Apocalypse Now
Django Unchained
Memento
12th Fail
WALL·E
Raiders of the Lost Ark
The Lives of Others
Sunset Blvd.
Paths of Glory
Avengers: Infinity War
Spider-Man: Into the Spider-Verse
Witness for the Prosecution
The Shining
The Great Dictator
Aliens
Inglourious Basterds
The Dark Knight Rises
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
American Beauty
Oldboy
Coco
Amadeus
Toy Story
Das Boot
Avengers: Endgame
Braveheart
Joker
Princess Mononoke
Good Will Hunting
Your Name.
Once Upon a Time in America
High and Low
3 Idiots
Singin' in the Rain
Capernaum
Requiem for a Dream
Come and See
Oppenheimer
Toy Story 3
Star Wars: Episode VI - Return of the Jedi
Eternal Sunshine of the Spotless Mind
The Hunt
2001: A Space Odyssey
Reservoir Dogs
Ikiru
Lawrence of Arabia
The Apartment
North by Northwest
Citizen Kane
Incendies
Vertigo
M
Double Indemnity
Scarface
Amélie
Full Metal Jacket
Heat
A Clockwork Orange
Up
To Kill a Mockingbird
The Sting
A Separation
Indiana Jones and the Last Crusade
Die Hard
Metropolis
Like Stars on Earth
Hamilton
Snatch
L.A. Confidential
1917
Bicycle Thieves
Taxi Driver
Downfall
Dangal
For a Few Dollars More
Batman Begins
The Wolf of Wall Street
Some Like It Hot
Green Book
The Kid
The Father
Judgment at Nuremberg
All About Eve
The Truman Show
Top Gun: Maverick
Shutter Island
There Will Be Blood
Casino
Ran
Jurassic Park
The Sixth Sense
Pan's Labyrinth
Unforgiven
No Country for Old Men
A Beautiful Mind
The Thing
The Treasure of the Sierra Madre
Kill Bill: Vol. 1
Yojimbo
Monty Python and the Holy Grail
The Great Escape
Finding Nemo
Rashomon
Prisoners
Howl's Moving Castle
The Elephant Man
Chinatown
Dial M for Murder
Gone with the Wind
V for Vendetta
"Lock, Stock and Two Smoking Barrels"
The Secret in Their Eyes
Inside Out
Raging Bull
"Three Billboards Outside Ebbing, Missouri"
Trainspotting
The Bridge on the River Kwai
Spider-Man: No Way Home
Fargo
Klaus
Catch Me If You Can
Warrior
Godzilla Minus One
Gran Torino
My Neighbor Totoro
Million Dollar Baby
Harry Potter and the Deathly Hallows: Part 2
Children of Heaven
12 Years a Slave
Blade Runner
Before Sunrise
Ben-Hur
The Grand Budapest Hotel
Barry Lyndon
Gone Girl
Hacksaw Ridge
The Gold Rush
In the Name of the Father
Memories of Murder
Dead Poets Society
On the Waterfront
The General
Wild Tales
The Deer Hunter
Mad Max: Fury Road
"Monsters, Inc."
Sherlock Jr.
The Third Man
Wild Strawberries
The Wages of Fear
Jaws
How to Train Your Dragon
Mary and Max
Mr. Smith Goes to Washington
Ratatouille
Ford v Ferrari
The Big Lebowski
Tokyo Story
Room
The Seventh Seal
Rocky
Logan
Spotlight
Hotel Rwanda
Platoon
The Terminator
The Passion of Joan of Arc
Before Sunset
La haine
The Best Years of Our Lives
Pirates of the Caribbean: The Curse of the Black Pearl
The Exorcist
Rush
Jai Bhim
Network
Stand by Me
The Wizard of Oz
The Incredibles
Hachi: A Dog's Tale
The Handmaiden
Into the Wild
My Father and My Son
The Sound of Music
The Battle of Algiers
The Grapes of Wrath
To Be or Not to Be
